x,y,z,w0,w1,w2,w3
43273.8536115635,56135.31375519276,0.0,0.0,0.0,1.0,0.0
43273.86488013049,56135.32284003789,0.0,0.0,0.0,1.0,0.0
43273.853961416426,56135.32313968815,0.0,0.0,0.0,1.0,0.0
43273.8426302039,56135.33183925287,0.0,0.0,0.0,1.0,0.0
43273.8646309937,56135.33145093491,0.0,0.0,0.0,1.0,0.0
43273.85354211174,56135.331530812124,0.0,0.0,0.0,1.0,0.0
43273.87423907955,56135.070411504574,0.0,0.0,0.0,1.0,0.0
43273.972072297096,56134.75450953659,0.0,0.0,0.0,1.0,0.0
43274.01546965019,56134.60109733867,0.0,0.0,0.0,1.0,0.0
43274.06924950103,56134.339501056515,0.0,0.0,0.0,1.0,0.0
43274.134146856704,56134.059996536635,0.0,0.0,0.0,1.0,0.0
43274.18808050266,56133.834329510966,0.0,0.0,0.0,1.0,0.0
43274.26444786328,56133.5999006196,0.0,0.0,0.0,1.0,0.0
43274.31819232148,56133.35612393263,0.0,0.0,0.0,1.0,0.0
43274.36119365873,56133.13073897488,0.0,0.0,0.0,1.0,0.0
43274.415076972226,56132.896074271135,0.0,0.0,0.0,1.0,0.0
